"Группа";"Дата";"День";"Пара";"Занятия"
"ТИК-212";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"МДК.01.03 Выполнение простых и сложных видов окрашивания волос — вся группа, Дорохова Евгения Владимировна, Кривоусова"
"ТИК-212";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"Иностранный язык в профессиональной деятельности — 1 п/г, Синельникова Елена Владимировна, Кривоусова | Иностранный язык в профессиональной деятельности — 2 п/г, Шадрина Елена Федоровна, Кривоусова"
"ТИК-212";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"ТИК-212";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"ТИК-212";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ТИК-212";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ТИК-212";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"Информационное обеспечение профессиональной деятельности — 2 п/г, Ланитина Елена Сергеевна, Кривоусова"
"ТИК-212";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"Биология — вся группа, Никонова Антонина Олеговна, Кривоусова"
"ТИК-212";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"География — вся группа, Никонова Антонина Олеговна, Кривоусова"
"ТИК-212";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"Иностранный язык в профессиональной деятельности — 1 п/г, Синельникова Елена Владимировна, Кривоусова"
"ТИК-212";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТИК-212";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТИК-212";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТИК-212";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"ЛПЗ МДК.01.03 Выполнение простых и сложных видов окрашивания волос — 1 п/г, Дорохова Евгения Владимировна, Кривоусова"
"ТИК-212";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"ВМДК.02.01 Технология выполнения типовых парикмахерских услуг — вся группа, Дорохова Евгения Владимировна, Кривоусова"
"ТИК-212";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"Рисунок и живопись — вся группа, Дорохова Евгения Владимировна, Кривоусова"
"ТИК-212";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"ЛПЗ МДК.01.03 Выполнение простых и сложных видов окрашивания волос — 2 п/г, Дорохова Евгения Владимировна, Кривоусова"
"ТИК-212";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"ТИК-212";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТИК-212";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"Математические методы моделирования производственных процессов — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"Физическая культура — вся группа, Нуров Мирзо Нуралиевич, Лесная"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"Метрология, стандартизация и сертификация — вся группа, Садриева Татьяна Геннадьевна, Лесная"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"Математические методы моделирования производственных процессов — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ТЭиРП-2901";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ТЭиРП-2901";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"География — вся группа, Кропотова Анастасия Андреевна, Лесная"
"ТЭиРП-2901";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"История России — вся группа, Лучинин Александр Васильевич, Лесная"
"ТЭиРП-2901";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"-"
"ТЭиРП-2901";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"ТЭиРП-2901";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТЭиРП-2901";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТЭиРП-2901";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТЭиРП-2901";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"ТЭиРП-2901";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"-"
"ТЭиРП-2901";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"-"
"ТЭиРП-2901";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"Химия — вся группа, Соболева Любовь Анатольевна, Кривоусова"
"ТЭиРП-2901";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"Технологическое оборудование и приспособление — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ТЭиРП-2901";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"Автоматизация проектироания технологических процессов — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ТЭиРП-2901";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ОСА-491";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"МДК.03.01 Планирование материально-технического обеспечения работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"МДК.03.02 Разработка, организация и контроль качества работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"ВМДК.05.01 Технология сборки, регулировки и ремонта контрольно-измерительных приборов и систем автоматики — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"ЛПЗ ВМДК.05.01 Технология сборки, регулировки и ремонта контрольно-измерительных приборов и систем автоматики — 1 п/г, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"ОСА-491";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ОСА-491";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ОСА-491";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"ОСА-491";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"МДК.03.01 Планирование материально-технического обеспечения работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"ВМДК.05.02 Технология выполнения слесарных и слесарно-сборочных работ — вся группа, Сивилькаев Вадим Михайлович, Кривоусова"
"ОСА-491";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"ОСА-491";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ОСА-491";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ОСА-491";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ОСА-491";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"ЛПЗ МДК.03.02 Разработка, организация и контроль качества работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — 1 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"ЛПЗ ВМДК.05.02 Технология выполнения слесарных и слесарно-сборочных работ — 1 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"ЛПЗ МДК.03.01 Планирование материально-технического обеспечения работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — 1 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"ЛПЗ МДК.03.02 Разработка, организация и контроль качества работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — 2 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"ЛПЗ МДК.03.01 Планирование материально-технического обеспечения работ по монтажу, наладке и техническому обслуживанию систем и средств автоматизации — 2 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"ЛПЗ ВМДК.05.02 Технология выполнения слесарных и слесарно-сборочных работ — 2 п/г, Осипчук Александр Александрович, Лесная"
"ОСА-491";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"ЛПЗ МДК.02.02 Испытания модели элементов систем автоматизации в реальных условиях и их оптимизация — 2 п/г, Осипчук Александр Александрович, Лесная"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"-"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"-"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"Информационные технологии в профессиональной деятельности — 1 п/г, Ланитина Елена Сергеевна, Кривоусова"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"ВМДК.03.04 Производство медных порошков — вся группа, Письмак Владимир Николаевич, Кривоусова"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"ВМДК.03.04 Производство медных порошков — вся группа, Письмак Владимир Николаевич, Кривоусова"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"ЛПЗ ВМДК.03.04 Производство медных порошков — 2 п/г, Письмак Владимир Николаевич, Кривоусова"
"МЦМ-Пф-202";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"-"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"Информационные технологии в профессиональной деятельности — 2 п/г, Ланитина Елена Сергеевна, Кривоусова"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"Материаловедение — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"Материаловедение — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"ЛПЗ ВМДК.03.04 Производство медных порошков — 1 п/г, Письмак Владимир Николаевич, Кривоусова"
"МЦМ-Пф-202";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-202";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"МЦМ-Пф-202";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"-"
"МЦМ-Пф-202";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"Иностранный язык в профессиональной деятельности — 1 п/г, Синельникова Елена Владимировна, Кривоусова"
"МЦМ-Пф-202";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"Основы металлургического производства — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-Пф-202";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"Основы металлургического производства — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-Пф-202";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"Иностранный язык в профессиональной деятельности — 2 п/г, Синельникова Елена Владимировна, Кривоусова"
"МЦМ-Пф-202";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"Метрология и стандартизация — вся группа, Садриева Татьяна Геннадьевна, Лесная"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"Метрология и стандартизация — вся группа, Садриева Татьяна Геннадьевна, Лесная"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"-"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"МЦМ-Пф-301";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"ЛПЗ МДК.02.05 Автоматизация технологических процессов производства цветных металлов и сплавов — 2 п/г, Сивилькаев Вадим Михайлович, Кривоусова"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"Безопасность жизнедеятельности — вся группа, Потапова Регина Александровна, Кривоусова"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"МДК 02.01 Металлургия цветных металлов — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"Метрология и стандартизация — вся группа, Садриева Татьяна Геннадьевна, Кривоусова"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"ЛПЗ МДК.02.05 Автоматизация технологических процессов производства цветных металлов и сплавов — 1 п/г, Сивилькаев Вадим Михайлович, Кривоусова"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"МЦМ-Пф-301";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-301";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"МЦМ-Пф-301";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"-"
"МЦМ-Пф-301";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"Иностранный язык в профессиональной деятельности — 2 п/г, Давыдова Валентина Алексеевна, Лесная"
"МЦМ-Пф-301";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"МДК 01.04 Охрана труда — вся группа, Костарева Наталья Викторовна, Лесная"
"МЦМ-Пф-301";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"Физическая культура — вся группа, Нуров Мирзо Нуралиевич, Лесная"
"МЦМ-Пф-301";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"Иностранный язык в профессиональной деятельности — 1 п/г, Давыдова Валентина Алексеевна, Лесная"
"МЦМ-Пф-301";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"МЦМ-408";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"МДК.04.02 Менеджмент — вся группа, Черепанова Татьяна Михайловна, Кривоусова"
"МЦМ-408";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"Основы предпринимательской деятельности — вся группа, Елагина Ольга Александровна, Кривоусова"
"МЦМ-408";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"МДК.04.02 Менеджмент — вся группа, Черепанова Татьяна Михайловна, Кривоусова"
"МЦМ-408";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"МЦМ-408";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"-"
"МЦМ-408";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"МЦМ-408";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"МЦМ-408";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"МЦМ-408";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"МДК.04.05 Информационные технологии в профессиональной деятельности — 1 п/г, Азарян Карине Айказовна, Лесная"
"МЦМ-408";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"Эффективное поведение на рынке труда — вся группа, Кропотова Анастасия Андреевна, Лесная"
"МЦМ-408";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"Иностранный язык — 2 п/г, Давыдова Валентина Алексеевна, Лесная"
"МЦМ-408";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"МЦМ-408";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"МЦМ-408";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"МЦМ-408";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"Физическая культура — вся группа, Потапова Регина Александровна, Кривоусова"
"МЦМ-408";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"Основы предпринимательской деятельности — вся группа, Елагина Ольга Александровна, Кривоусова"
"МЦМ-408";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"МДК.01.01 Металлургия цветных металлов — вся группа, Попова Татьяна Вильевна, Кривоусова"
"МЦМ-408";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"МДК.01.02 Металлургия тяжелых цветных металлов — вся группа, Письмак Владимир Николаевич, Кривоусова"
"МЦМ-408";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"МЦМ-408";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"МЦМ-408";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"Общая и неорганическая химия — вся группа, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"Общая и неорганическая химия — вся группа, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"Иностранный язык в профессиональной деятельности — 1 п/г, Синельникова Елена Владимировна, Кривоусова | ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
"ТАКХС-Пф-2202";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"Аналитическая химия — вся группа, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"Иностранный язык в профессиональной деятельности — 2 п/г, Синельникова Елена Владимировна, Кривоусова | ЛПЗ МДК.04.01 Выполнение работ по профессии лаборант химического анализа — 1 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"Физическая культура — вся группа, Потапова Регина Александровна, Кривоусова"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТАКХС-Пф-2202";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"-"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"Математика — вся группа, Нифонтова Ирина Геннадьевна, Лесная"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"Физическая и коллоидная химия — вся группа, Альшаева Алина Павловна, Лесная"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТАКХС-Пф-2202";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТАКХС-3201";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"ЛПЗ МДК.04.01 Выполнение работ по профессии Лаборант химического анализа анализа — 1 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 1 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 1 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"ЛПЗ МДК.04.01 Выполнение работ по профессии Лаборант химического анализа анализа — 2 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"Иностранный язык в профессиональной деятельности — 2 п/г, Синельникова Елена Владимировна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-3201";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"-"
"ТАКХС-3201";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 2 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"метрология, стандартизация и сертификация — вся группа, Садриева Татьяна Геннадьевна, Кривоусова"
"ТАКХС-3201";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"Иностранный язык в профессиональной деятельности — 1 п/г, Синельникова Елена Владимировна, Кривоусова | ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 2 п/г, Кальчевская Наталья Владимировна, Кривоусова"
"ТАКХС-3201";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-3201";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТАКХС-3201";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТАКХС-3201";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТАКХС-3201";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"Охрана труда/основы интеллектуального труда — вся группа, Костарева Наталья Викторовна, Лесная"
"ТАКХС-3201";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"Физическая культура — вся группа, Нуров Мирзо Нуралиевич, Лесная"
"ТАКХС-3201";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"Основы философии — вся группа, Лучинин Александр Васильевич, Лесная"
"ТАКХС-3201";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"-"
"ТАКХС-3201";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"ТАКХС-3201";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТАКХС-3201";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТАКХС-4202";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"-"
"ТАКХС-4202";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"-"
"ТАКХС-4202";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"-"
"ТАКХС-4202";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"-"
"ТАКХС-4202";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"Иностранный язык в профессиональной деятельности — 1 п/г, Ермолина Ирина Павловна, Лесная"
"ТАКХС-4202";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"Физическая культура — вся группа, Потапова Регина Александровна, Лесная"
"ТАКХС-4202";"03.09.2026";"ЧТ";"7 пара (18:35-19:55)";"Иностранный язык в профессиональной деятельности — 2 п/г, Ермолина Ирина Павловна, Лесная"
"ТАКХС-4202";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"ТАКХС-4202";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"-"
"ТАКХС-4202";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"-"
"ТАКХС-4202";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"Психология общения — вся группа, Ярославцева Елена Анатольевна, Кривоусова"
"ТАКХС-4202";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — вся группа, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — вся группа, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 1 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"ЛПЗ МДК.02.01 Основы качественного и количественного анализа природных и промышленных материалов — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТАКХС-4202";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"ЛПЗ МДК.01.01 Основы аналитической химии и физико-химических методов анализа — 2 п/г, Семенова Лилиана Ивановна, Кривоусова"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"1 пара (08:30-09:55)";"-"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"2 пара (10:05-11:30)";"-"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"3 пара (12:25-13:50)";"Физическая культура — вся группа, Потапова Регина Александровна, Лесная"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"4 пара (14:00-15:25)";"Безопасность жизнидеятельности — вся группа, Потапова Регина Александровна, Лесная"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"5 пара (15:35-16:55)";"Физическая культура — вся группа, Потапова Регина Александровна, Лесная"
"ТЭО-Пф-3501";"03.09.2026";"ЧТ";"6 пара (17:05-18:25)";"-"
